MSN,state,Year,data
NGRCB,CT,2003,46819

NGRCB,CT,2004,45252

NGRCB,CT,2005,45650

NGRCB,CT,2006,40103

NGRCB,CT,2007,44385

NGRCB,CT,2008,43815

NGRCB,CT,2009,45020

NGRCB,CT,2010,43815

NGRCB,CT,2011,45951

NGRCB,CT,2012,42340

NGRCB,CT,2013,47716

NGRCB,CT,2014,52615

NGRCB,CT,2015,52337

NGRCB,CT,2016,47327

NGRCB,CT,2017,49815

NGRCB,CT,2018,54702

NGRCB,CT,2019,53808

NGRCB,DC,1960,9045

NGRCB,DC,1961,9450

NGRCB,DC,1962,10046

NGRCB,DC,1963,10276

NGRCB,DC,1964,10739

NGRCB,DC,1965,11056

NGRCB,DC,1966,11145

NGRCB,DC,1967,12637

NGRCB,DC,1968,12920

NGRCB,DC,1969,13802

NGRCB,DC,1970,14112

NGRCB,DC,1971,14243

NGRCB,DC,1972,14475

NGRCB,DC,1973,14047

NGRCB,DC,1974,13439

NGRCB,DC,1975,13339

NGRCB,DC,1976,14153

NGRCB,DC,1977,12611

NGRCB,DC,1978,13556

NGRCB,DC,1979,13457

NGRCB,DC,1980,13771

NGRCB,DC,1981,13878

NGRCB,DC,1982,13263

NGRCB,DC,1983,13137

NGRCB,DC,1984,17582

NGRCB,DC,1985,16854

NGRCB,DC,1986,17521

NGRCB,DC,1987,16963

NGRCB,DC,1988,17663

NGRCB,DC,1989,17607

NGRCB,DC,1990,15258

NGRCB,DC,1991,15377

NGRCB,DC,1992,16703

NGRCB,DC,1993,16705

NGRCB,DC,1994,16039

NGRCB,DC,1995,15784

NGRCB,DC,1996,17446

NGRCB,DC,1997,16138

NGRCB,DC,1998,13607

NGRCB,DC,1999,14444

NGRCB,DC,2000,15854

NGRCB,DC,2001,13283

NGRCB,DC,2002,14591

NGRCB,DC,2003,15565

NGRCB,DC,2004,14661

NGRCB,DC,2005,14573

NGRCB,DC,2006,11698

NGRCB,DC,2007,13732

NGRCB,DC,2008,13592

NGRCB,DC,2009,13937

NGRCB,DC,2010,13799

NGRCB,DC,2011,12583

NGRCB,DC,2012,11587

NGRCB,DC,2013,13610

NGRCB,DC,2014,14854

NGRCB,DC,2015,14088

NGRCB,DC,2016,11880

NGRCB,DC,2017,12368

NGRCB,DC,2018,13584

NGRCB,DC,2019,12487

NGRCB,DE,1960,3945

NGRCB,DE,1961,4422

NGRCB,DE,1962,4796

NGRCB,DE,1963,5235

NGRCB,DE,1964,5481

NGRCB,DE,1965,5939

NGRCB,DE,1966,6458

NGRCB,DE,1967,7131

NGRCB,DE,1968,7365

NGRCB,DE,1969,7789

NGRCB,DE,1970,8000

NGRCB,DE,1971,8335

NGRCB,DE,1972,8520

NGRCB,DE,1973,7661

NGRCB,DE,1974,7534

NGRCB,DE,1975,7088

NGRCB,DE,1976,7511

NGRCB,DE,1977,7378

NGRCB,DE,1978,7666

NGRCB,DE,1979,7182

NGRCB,DE,1980,7137

NGRCB,DE,1981,7044

